DefaultSC.A1ModJulian,DefaultSC.EarthMJ2000Eq.X,DefaultSC.gse.X,DefaultSC.gse.Y,DefaultSC.gse.Z
27592.00004669423,5216.805821720925,-2060.342751830291,-4832.883563309741,4949.568083022094
27592.00074113868,5120.02513091841,-1637.775579064813,-4964.021246094679,4993.140391232808
27592.00183904414,4927.621396912128,-957.7239289737345,-5132.819260428749,5023.313782920369
27592.00299762171,4674.387570587759,-230.5003772242098,-5258.592972374619,5003.818428671275
27592.00416696909,4369.545977881755,505.8434672464423,-5330.117659719121,4931.278109574701
27592.00534139467,4017.145572489035,1239.97634656085,-5345.551411045429,4806.104733969964
27592.00652005073,3620.927657084368,1963.566585403651,-5304.420123245358,4629.434384932632
27592.00770256675,3185.036259653467,2668.664138206804,-5206.932780143598,4402.978180943055
27592.00888860696,2714.068809254532,3347.512813136595,-5053.932053251259,4129.011307493671
27592.01007782443,2213.038239560513,3992.610092956386,-4846.885019328935,3810.352818338787
27592.01126977998,1687.354360056563,4596.753404927224,-4587.888314637413,3450.361637672515
27592.01246404213,1142.724104967383,5153.184191241293,-4279.635956010313,3052.878595711011
27592.01366016465,585.0953025329765,5655.656397350156,-3925.393924334458,2622.189219197217
27592.01485765623,20.60300638128619,6098.502632175857,-3528.976371015696,2162.988468099792
27592.01605602611,-544.52307972697,6476.726723058528,-3094.69213657863,1680.312340404801
27592.01725477852,-1104.029940308973,6786.063372773887,-2627.296857172946,1179.481001015182
27592.01845342268,-1651.720487862175,7023.034330676872,-2131.933959810213,666.0320456138488
27592.0196514632,-2181.523478921676,7184.990168304509,-1614.078137010406,145.6588314219744
27592.02084842586,-2687.578071757802,7270.147729536152,-1079.459451373681,-375.8686943757043
27592.0220438623,-3164.304925387014,7277.608225667232,-533.9918328613401,-892.7753321637983
27592.0232373306,-3606.46418611631,7207.365238056922,16.28910776392334,-1399.341245470283
27592.02442843414,-4009.231531917515,7060.300655608859,565.3160304711993,-1889.98651408341
27592.02561678308,-4368.239295007918,6838.172086977859,1107.044453073647,-2359.320639285548
27592.02680205426,-4679.644046263473,6543.577011604174,1635.551235585416,-2802.229072408183
27592.02798393903,-4940.150697796947,6179.923152066479,2145.079352478941,-3213.910172302248
27592.02916217284,-5147.055038895027,5751.376198521027,2630.116953417079,-3589.940212069684
27592.03033651881,-5298.266211645934,5262.809353477091,3085.452253177497,-3926.315879924583
27592.03150678435,-5392.327922859517,4719.734116980235,3506.237761583998,-4219.501985471514
27592.03267284714,-5428.427014774074,4128.214707688297,3888.049356907314,-4466.471119422634
27592.03383459428,-5406.39009857721,3494.820583627158,4226.909692367241,-4664.716912980426
27592.03499197718,-5326.679853408994,2826.519422294242,4519.345467795344,-4812.287815706964
27592.03614496361,-5190.382321353526,2130.619790082019,4762.405750709857,-4907.793598780751
27592.03729359063,-4999.182035894466,1414.655129770623,4953.700025105851,-4950.419159630273
27592.03843792589,-4755.337137083664,686.3201250076693,5091.406109764357,-4939.919908477122
27592.0395780637,-4461.649769310913,-46.61130308776796,5174.283207347944,-4876.618430434263
27592.04071414617,-4121.423803340108,-776.3837253630215,5201.679387866401,-4761.392806717787
27592.04184634335,-3738.427234108386,-1495.329612703789,5173.528180883764,-4595.66006982254
27592.04297487076,-3316.840480096436,-2195.95940589257,5090.340798501425,-4381.351490975305
27592.04409996556,-2861.215161183737,-2871.021525050463,4953.193156405478,-4120.888722059809
27592.04522190466,-2376.415835299696,-3513.584384839235,4763.705903568785,-3817.149024828918
27592.04634098266,-1867.575480030506,-4117.089301752019,4524.0235630894,-3473.435253564897
27592.04745754314,-1340.026666408752,-4675.428024365494,4236.779805228691,-3093.427907024783
27592.04857193189,-799.2674486035418,-5182.972552383183,3905.075314128384,-2681.15830110511
27592.0496845506,-250.8804157801368,-5634.649653316776,3532.427348796188,-2240.946258945659
27592.05079577948,299.4848005385526,-6025.949869029911,3122.754804220879,-1777.384057084129
27592.05190606242,846.2076269959392,-6352.998403099871,2680.308207602201,-1295.256235244467
27592.05301583371,1383.713442784612,-6612.557390088277,2209.651592611679,-799.5217745454938
27592.05412555481,1906.543040469122,-6802.062880138289,1715.603714359991,-295.2510437093947
27592.05523567929,2409.385648168575,-6919.636047982585,1203.206463108212,212.4065382925401
27592.0563466853,2887.141866670478,-6964.101654379238,677.6629421856751,718.2849686937309
27592.05745904797,3334.956036248148,-6934.990526216511,144.3016111575306,1217.236373278837
27592.05857323092,3748.256674104763,-6832.543902874018,-391.4678081788505,1704.173884512245
27592.05968967829,4122.79611097327,-6657.714478510565,-924.1994051142622,2174.114810892983
27592.06080881635,4454.691778488223,-6412.161443407243,-1448.461513846049,2622.227713236015
27592.06193104207,4740.460985545763,-6098.242258936726,-1958.881518243924,3043.873519240156
27592.06305671783,4977.056415645847,-5718.999444206152,-2450.19436221581,3434.649168750886
27592.0641861824,5161.901739499982,-5278.135362618086,-2917.298105069273,3790.435574664112
27592.06531973154,5292.917321548717,-4779.990878321611,-3355.295823648601,4107.433410900332
27592.06645759989,5368.547188333842,-4229.522298982237,-3759.53995964688,4382.200869326074
27592.06759997776,5387.786559956406,-3632.25629963928,-4125.6899999138,4611.699710185145
27592.06874701312,5350.200197433229,-2994.241960830724,-4449.761228977188,4793.332276388592
27592.06989879002,5255.937199219029,-2322.009910035801,-4728.165299898861,4924.972134792222
27592.07105534025,5105.741137666196,-1622.507510944361,-4957.759229286488,5004.997970404903
27592.07221666254,4900.949108986015,-903.0210594922758,-5135.889093689483,5032.319882311994
27592.07338265272,4643.50089132733,-171.1475494797164,-5260.416845528864,5006.399404379134
27592.07455319136,4335.91471997611,565.3364741727557,-5329.767897852987,4927.268942038841
27592.07572807981,3981.282897643575,1298.517487024957,-5342.95058649468,4795.541945487642
27592.07690708567,3583.236516492453,2020.459646734169,-5299.581529087013,4612.414460103002
27592.07808992311,3145.918548930433,2723.281491115614,-5199.898783019758,4379.662545444897
27592.07927625487,2673.945214611486,3399.248507410459,-5044.77062972473,4099.632392027041
27592.08046572185,2172.348145522411,4040.881399368765,-4835.691258889802,3775.21489694906
27592.08165789214,1646.543030692061,4641.018910285115,-4574.780834099894,3409.833297856331
27592.08285234396,1102.235738978998,5192.950184480287,-4264.753493594267,3007.386697774974
27592.08404860987,545.3819769149185,5690.468795089651,-3908.901998100333,2572.224747890068
27592.08524620287,-17.89211530621247,6127.965323328289,-3511.059527233812,2109.093054391771
27592.0864446438,-581.3746355225785,6500.507631578615,-3075.548313955168,1623.068504530138
27592.08764341889,-1138.821616278724,6803.889276980765,-2607.145666318501,1119.517314065426
27592.0888420469,-1684.062945108979,7034.702959350001,-2111.004158693829,604.0046952968482
27592.09004003277,-2211.05468401972,7190.369612294892,-1592.608112177111,82.247625625615
27592.09123689296,-2713.963676719774,7269.177736803544,-1057.698720285743,-439.9641249208025
27592.09243219295,-3187.252097608668,7270.302764733645,-512.1877296190269,-956.8538798021377
27592.09362548411,-3625.716580013183,7193.811037171876,37.88533746888973,-1462.69967322288
27592.09481637756,-4024.577844907265,7040.655733682106,586.4588808396177,-1951.93387751387
27592.0960044929,-4379.515469181913,6812.661895480254,1127.497906444695,-2419.18667798243
27592.09718948913,-4686.72728550638,6512.49727103059,1655.079315035426,-2859.361410257136
27592.09837107934,-4942.971894911622,6143.627457606527,2163.466766114635,-3267.696906420722
27592.0995489918,-5145.591734285671,5710.278441476305,2647.158845597949,-3639.806015600979
27592.10072300895,-5292.547117456194,5217.368796270941,3100.967400764154,-3971.736666681738
27592.10189295346,-5382.428832872285,4670.448346455993,3520.067412514774,-4260.00723655433
27592.10305867966,-5414.466792115546,4075.631923966558,3900.045149309545,-4501.639298320657
27592.10422009056,-5388.532262580303,3439.515157101388,4236.949288330838,-4694.189584814698
27592.10537712637,-5305.130158449845,2769.099268513583,4527.325378888371,-4835.76793612286
27592.10652978813,-5165.382265432874,2071.693434122929,4768.252793136014,-4925.053104902402
27592.10767807318,-4971.013750191927,1354.868410521137,4957.355909646206,-4961.294332143369
27592.10882206917,-4724.313550564012,626.3133784763013,5092.840979490774,-4944.317931214769
27592.1099618682,-4428.113793261472,-106.1968181667057,5173.491291785905,-4874.516327632396
27592.1110976133,-4085.743955376579,-834.9147373368921,5198.679512529913,-4752.837319503977
27592.11222948305,-3700.990831370401,-1552.192393974768,5168.363078094505,-4580.765416227638
27592.11335769619,-3278.050391298234,-2250.562588927,5083.075584631674,-4360.29748848177
